"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
4,4,3,"both",0.6,"power",0.99,0.61,0.53,0.4,0.99,0.98,0.77,0.34,0.79,0.88,0.87
4,4,3,"prevalence",0.05,"power",0.05,0.06,0.08,0.05,0.02,0.05,0.05,0.04,0.04,0.04,0.02
4,4,3,"prevalence",0.1,"power",0.06,0.05,0.03,0.04,0.02,0.08,0.05,0.02,0.05,0.03,0.04
4,4,3,"prevalence",0.15,"power",0.08,0.03,0.07,0.01,0.08,0.05,0.05,0.02,0.04,0.07,0.06
4,4,3,"prevalence",0.2,"power",0.09,0.05,0.1,0.04,0.02,0.05,0.02,0.04,0.02,0.06,0.05
4,4,3,"prevalence",0.25,"power",0.12,0.03,0.18,0.01,0.03,0.09,0.04,0.06,0.04,0.13,0.04
4,4,3,"prevalence",0.3,"power",0.24,0.07,0.16,0.09,0.12,0.12,0.05,0.06,0.05,0.19,0.09
4,4,3,"prevalence",0.35,"power",0.28,0.03,0.28,0.01,0.05,0.17,0.03,0.06,0.03,0.25,0.04
4,4,3,"prevalence",0.4,"power",0.38,0.04,0.24,0.03,0.06,0.13,0.04,0.04,0.04,0.25,0.04
4,4,3,"prevalence",0.45,"power",0.65,0.05,0.37,0.06,0.11,0.3,0.04,0.06,0.05,0.51,0.06
4,4,3,"prevalence",0.5,"power",0.81,0.04,0.43,0.04,0.17,0.52,0.1,0.08,0.09,0.66,0.08
4,4,3,"prevalence",0.55,"power",0.87,0.05,0.51,0.04,0.24,0.59,0.11,0.09,0.11,0.78,0.13
4,4,3,"prevalence",0.6,"power",0.95,0.07,0.64,0.05,0.24,0.62,0.1,0.05,0.13,0.85,0.12
