"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"both",0.4,1,308,"bray",0.47,100
2,"both",0.4,1,308,"euclidean",0.2,100
2,"both",0.4,1,308,"jaccard",0.45,100
2,"both",0.4,1,308,"unifrac_unweighted",0.87,100
2,"both",0.4,1,308,"unifrac_weighted_phyloseq",0.86,100
2,"both",0.45,1,308,"GLaD_0.5_unweighted",1,100
2,"both",0.45,1,308,"GLaD_0.5_weighted",0.87,100
2,"both",0.45,1,308,"GLaD_1_unweighted",1,100
2,"both",0.45,1,308,"GLaD_1_weighted",0.9,100
2,"both",0.45,1,308,"GUniFrac",0.98,100
2,"both",0.45,1,308,"aitchison",0.99,100
2,"both",0.45,1,308,"bray",0.6,100
2,"both",0.45,1,308,"euclidean",0.19,100
2,"both",0.45,1,308,"jaccard",0.59,100
2,"both",0.45,1,308,"unifrac_unweighted",0.98,100
2,"both",0.45,1,308,"unifrac_weighted_phyloseq",0.93,100
2,"both",0.5,1,308,"GLaD_0.5_unweighted",1,100
2,"both",0.5,1,308,"GLaD_0.5_weighted",0.98,100
2,"both",0.5,1,308,"GLaD_1_unweighted",0.99,100
2,"both",0.5,1,308,"GLaD_1_weighted",0.99,100
2,"both",0.5,1,308,"GUniFrac",1,100
2,"both",0.5,1,308,"aitchison",1,100
2,"both",0.5,1,308,"bray",0.76,100
2,"both",0.5,1,308,"euclidean",0.3,100
2,"both",0.5,1,308,"jaccard",0.75,100
2,"both",0.5,1,308,"unifrac_unweighted",1,100
2,"both",0.5,1,308,"unifrac_weighted_phyloseq",0.99,100
2,"both",0.55,1,308,"GLaD_0.5_unweighted",1,100
2,"both",0.55,1,308,"GLaD_0.5_weighted",0.96,100
2,"both",0.55,1,308,"GLaD_1_unweighted",1,100
2,"both",0.55,1,308,"GLaD_1_weighted",0.96,100
2,"both",0.55,1,308,"GUniFrac",1,100
2,"both",0.55,1,308,"aitchison",1,100
2,"both",0.55,1,308,"bray",0.85,100
2,"both",0.55,1,308,"euclidean",0.33,100
2,"both",0.55,1,308,"jaccard",0.84,100
2,"both",0.55,1,308,"unifrac_unweighted",1,100
2,"both",0.55,1,308,"unifrac_weighted_phyloseq",0.99,100
2,"both",0.6,1,308,"GLaD_0.5_unweighted",1,100
2,"both",0.6,1,308,"GLaD_0.5_weighted",0.98,100
2,"both",0.6,1,308,"GLaD_1_unweighted",1,100
2,"both",0.6,1,308,"GLaD_1_weighted",0.99,100
2,"both",0.6,1,308,"GUniFrac",1,100
2,"both",0.6,1,308,"aitchison",1,100
2,"both",0.6,1,308,"bray",0.93,100
2,"both",0.6,1,308,"euclidean",0.38,100
2,"both",0.6,1,308,"jaccard",0.91,100
2,"both",0.6,1,308,"unifrac_unweighted",1,100
2,"both",0.6,1,308,"unifrac_weighted_phyloseq",1,100
2,"both",0.65,1,308,"GLaD_0.5_unweighted",1,100
2,"both",0.65,1,308,"GLaD_0.5_weighted",0.98,100
2,"both",0.65,1,308,"GLaD_1_unweighted",1,100
2,"both",0.65,1,308,"GLaD_1_weighted",0.98,100
2,"both",0.65,1,308,"GUniFrac",1,100
2,"both",0.65,1,308,"aitchison",1,100
2,"both",0.65,1,308,"bray",0.99,100
2,"both",0.65,1,308,"euclidean",0.48,100
2,"both",0.65,1,308,"jaccard",0.98,100
2,"both",0.65,1,308,"unifrac_unweighted",1,100
2,"both",0.65,1,308,"unifrac_weighted_phyloseq",1,100
2,"both",0.7,1,308,"GLaD_0.5_unweighted",1,100
2,"both",0.7,1,308,"GLaD_0.5_weighted",1,100
2,"both",0.7,1,308,"GLaD_1_unweighted",1,100
2,"both",0.7,1,308,"GLaD_1_weighted",1,100
2,"both",0.7,1,308,"GUniFrac",1,100
2,"both",0.7,1,308,"aitchison",1,100
2,"both",0.7,1,308,"bray",0.98,100
2,"both",0.7,1,308,"euclidean",0.5,100
2,"both",0.7,1,308,"jaccard",0.98,100
2,"both",0.7,1,308,"unifrac_unweighted",1,100
2,"both",0.7,1,308,"unifrac_weighted_phyloseq",1,100
2,"both",0.75,1,308,"GLaD_0.5_unweighted",1,100
2,"both",0.75,1,308,"GLaD_0.5_weighted",0.99,100
2,"both",0.75,1,308,"GLaD_1_unweighted",1,100
2,"both",0.75,1,308,"GLaD_1_weighted",0.99,100
2,"both",0.75,1,308,"GUniFrac",1,100
2,"both",0.75,1,308,"aitchison",1,100
2,"both",0.75,1,308,"bray",0.99,100
2,"both",0.75,1,308,"euclidean",0.71,100
2,"both",0.75,1,308,"jaccard",0.99,100
2,"both",0.75,1,308,"unifrac_unweighted",1,100
2,"both",0.75,1,308,"unifrac_weighted_phyloseq",0.99,100
2,"both",0.8,1,308,"GLaD_0.5_unweighted",1,100
2,"both",0.8,1,308,"GLaD_0.5_weighted",1,100
2,"both",0.8,1,308,"GLaD_1_unweighted",1,100
2,"both",0.8,1,308,"GLaD_1_weighted",1,100
2,"both",0.8,1,308,"GUniFrac",1,100
2,"both",0.8,1,308,"aitchison",1,100
2,"both",0.8,1,308,"bray",1,100
2,"both",0.8,1,308,"euclidean",0.55,100
2,"both",0.8,1,308,"jaccard",1,100
2,"both",0.8,1,308,"unifrac_unweighted",1,100
2,"both",0.8,1,308,"unifrac_weighted_phyloseq",1,100
2,"both",0.85,1,308,"GLaD_0.5_unweighted",1,100
2,"both",0.85,1,308,"GLaD_0.5_weighted",1,100
2,"both",0.85,1,308,"GLaD_1_unweighted",1,100
2,"both",0.85,1,308,"GLaD_1_weighted",1,100
2,"both",0.85,1,308,"GUniFrac",1,100
2,"both",0.85,1,308,"aitchison",1,100
2,"both",0.85,1,308,"bray",1,100
2,"both",0.85,1,308,"euclidean",0.75,100
2,"both",0.85,1,308,"jaccard",1,100
2,"both",0.85,1,308,"unifrac_unweighted",1,100
2,"both",0.85,1,308,"unifrac_weighted_phyloseq",1,100
2,"both",0.9,1,308,"GLaD_0.5_unweighted",1,100
2,"both",0.9,1,308,"GLaD_0.5_weighted",1,100
2,"both",0.9,1,308,"GLaD_1_unweighted",1,100
2,"both",0.9,1,308,"GLaD_1_weighted",1,100
2,"both",0.9,1,308,"GUniFrac",1,100
2,"both",0.9,1,308,"aitchison",1,100
2,"both",0.9,1,308,"bray",1,100
2,"both",0.9,1,308,"euclidean",0.81,100
2,"both",0.9,1,308,"jaccard",1,100
2,"both",0.9,1,308,"unifrac_unweighted",1,100
2,"both",0.9,1,308,"unifrac_weighted_phyloseq",1,100
2,"both",0.95,1,308,"GLaD_0.5_unweighted",1,100
2,"both",0.95,1,308,"GLaD_0.5_weighted",1,100
2,"both",0.95,1,308,"GLaD_1_unweighted",1,100
2,"both",0.95,1,308,"GLaD_1_weighted",1,100
2,"both",0.95,1,308,"GUniFrac",1,100
2,"both",0.95,1,308,"aitchison",1,100
2,"both",0.95,1,308,"bray",1,100
2,"both",0.95,1,308,"euclidean",0.86,100
2,"both",0.95,1,308,"jaccard",0.99,100
2,"both",0.95,1,308,"unifrac_unweighted",1,100
2,"both",0.95,1,308,"unifrac_weighted_phyloseq",1,100
2,"both",1,1,308,"GLaD_0.5_unweighted",1,100
2,"both",1,1,308,"GLaD_0.5_weighted",1,100
2,"both",1,1,308,"GLaD_1_unweighted",1,100
2,"both",1,1,308,"GLaD_1_weighted",1,100
2,"both",1,1,308,"GUniFrac",1,100
2,"both",1,1,308,"aitchison",1,100
2,"both",1,1,308,"bray",1,100
2,"both",1,1,308,"euclidean",0.9,100
2,"both",1,1,308,"jaccard",1,100
2,"both",1,1,308,"unifrac_unweighted",1,100
2,"both",1,1,308,"unifrac_weighted_phyloseq",1,100
2,"prevalence",0.05,1,308,"GLaD_0.5_unweighted",0.05,100
2,"prevalence",0.05,1,308,"GLaD_0.5_weighted",0.06,100
2,"prevalence",0.05,1,308,"GLaD_1_unweighted",0.06,100
2,"prevalence",0.05,1,308,"GLaD_1_weighted",0.1,100
2,"prevalence",0.05,1,308,"GUniFrac",0.02,100
2,"prevalence",0.05,1,308,"aitchison",0.06,100
2,"prevalence",0.05,1,308,"bray",0.06,100
2,"prevalence",0.05,1,308,"euclidean",0.03,100
2,"prevalence",0.05,1,308,"jaccard",0.06,100
2,"prevalence",0.05,1,308,"unifrac_unweighted",0.05,100
2,"prevalence",0.05,1,308,"unifrac_weighted_phyloseq",0.04,100
2,"prevalence",0.1,1,308,"GLaD_0.5_unweighted",0.08,100
2,"prevalence",0.1,1,308,"GLaD_0.5_weighted",0.07,100
2,"prevalence",0.1,1,308,"GLaD_1_unweighted",0.14,100
2,"prevalence",0.1,1,308,"GLaD_1_weighted",0.06,100
2,"prevalence",0.1,1,308,"GUniFrac",0.06,100
2,"prevalence",0.1,1,308,"aitchison",0.08,100
2,"prevalence",0.1,1,308,"bray",0.07,100
2,"prevalence",0.1,1,308,"euclidean",0.06,100
2,"prevalence",0.1,1,308,"jaccard",0.05,100
2,"prevalence",0.1,1,308,"unifrac_unweighted",0.12,100
2,"prevalence",0.1,1,308,"unifrac_weighted_phyloseq",0.07,100
2,"prevalence",0.15,1,308,"GLaD_0.5_unweighted",0.16,100
